,mfcc,mfcc.1,mfcc.2,mfcc.3,mfcc.4,mfcc.5,mfcc.6,mfcc.7,mfcc.8,mfcc.9,mfcc.10,mfcc.11,mfcc.12,mfcc.13,mfcc.14,mfcc.15,mfcc.16,mfcc.17,mfcc.18,mfcc.19,mfcc.20,mfcc.21,mfcc.22,mfcc.23,mfcc.24,mfcc.25,mfcc.26,mfcc.27,mfcc.28,mfcc.29,mfcc.30,mfcc.31,mfcc.32,mfcc.33,mfcc.34,mfcc.35,mfcc.36,mfcc.37,mfcc.38,mfcc.39,mfcc.40,mfcc.41,mfcc.42,mfcc.43,mfcc.44,mfcc.45,mfcc.46,mfcc.47,mfcc.48,mfcc.49,mfcc.50,mfcc.51,mfcc.52,mfcc.53,mfcc.54,mfcc.55,mfcc.56,mfcc.57,mfcc.58,mfcc.59,mfcc.60,mfcc.61,mfcc.62,mfcc.63,mfcc.64,mfcc.65,mfcc.66,mfcc.67,mfcc.68,mfcc.69,mfcc.70,mfcc.71,mfcc.72,mfcc.73,mfcc.74,mfcc.75,mfcc.76,mfcc.77,mfcc.78,mfcc.79,mfcc.80,mfcc.81,mfcc.82,mfcc.83,mfcc.84,mfcc.85,mfcc.86,mfcc.87,mfcc.88,mfcc.89,mfcc.90,mfcc.91,mfcc.92,mfcc.93,mfcc.94,mfcc.95,mfcc.96,mfcc.97,mfcc.98,mfcc.99,mfcc.100,mfcc.101,mfcc.102,mfcc.103,mfcc.104,mfcc.105,mfcc.106,mfcc.107,mfcc.108,mfcc.109,mfcc.110,mfcc.111,mfcc.112,mfcc.113,mfcc.114,mfcc.115,mfcc.116,mfcc.117,mfcc.118,mfcc.119,mfcc.120,mfcc.121,mfcc.122,mfcc.123,mfcc.124,mfcc.125,mfcc.126,mfcc.127,mfcc.128,mfcc.129,mfcc.130,mfcc.131,mfcc.132,mfcc.133,mfcc.134,mfcc.135,mfcc.136,mfcc.137,mfcc.138,mfcc.139,track_genre_top
1417,11.3335886,5.7677946091,0.31443458796,-0.077129907906,-0.50983315706,0.39953830838,0.43550434709,0.42867845297,-0.17448239028,-0.0055760820396,-0.15891861916,-0.22487537563,0.14202752709,0.40162268281,0.17563803494,0.15643209219,0.21496038139,0.3640832901,-0.085541434586,0.66838288307,-11.618059158,264.13122559,48.195262909,96.392799377,49.647434235,54.797523499,28.615913391,49.900306702,31.653575897,44.951633453,29.592624664,24.399839401,27.237808228,38.275413513,23.591339111,18.618186951,19.545240402,22.185796738,21.233739853,26.963054657,-160.95062256,181.55029297,-47.378414154,30.391820908,2.4012989998,18.09409523,-8.9827203751,1.5538474321,2.0570383072,6.7726330757,0.87742578983,-4.5776743889,1.2537074089,6.3300628662,-1.1561009884,-6.9500570297,-6.2129797935,-5.0470161438,-10.026061058,-5.3190321922,-145.48287964,189.2902832,-51.936546326,31.583082199,2.1212825775,19.598464966,-8.5253601074,0.77143645287,2.0580718517,6.166285038,1.1358457804,-5.1222376823,1.3475238085,6.2673158646,-1.0216858387,-7.2338533401,-6.3522496223,-5.1623458862,-10.322717667,-5.1466135979,-571.1227417,-1.2700951402000001e-13,-108.8533783,-25.905517578,-50.721755981,-30.773565292,-51.775928497,-32.458892822,-34.185348511,-23.698661804,-26.627109528,-28.659238815,-27.13848114,-23.141933441,-25.774608612,-28.634057999,-32.936836243,-30.397872925,-34.939918518,-34.741191864,-2.9174184799,-1.9165297747,0.7989128828,-0.27836093307,0.02927708067,-0.59065741301,-0.13889493048,0.22866797447,-0.1785056144,0.31551280618,-0.14450199902,0.30041587353,-0.15605293214,0.011943296529,-0.04190986231,0.22972306609,0.059678822756,0.12493111193,0.15401469171,-0.031991392374,81.860694885,40.660179138,25.035890579,15.823739052,15.229353905,13.635682106,9.0567979813,10.094758034,9.1657991409,8.6537475586,7.3863697052,7.7016816139,6.1867609024,6.6603660583,6.0716309547,5.8108296394,5.7941532135,6.039041996,7.5312867165,6.0804076195,Rock
1427,8.2295885086,4.6130943298,0.74172753096,2.9059917927,-0.18959090114,-0.11906511337,0.17430648208,-0.032988067716,0.063013739884,-0.091003701091,-0.035938218236,0.0054084262811,0.020137045532,0.14250023663,0.051948245615,0.74245470762,0.15437561274,-0.021084152162,0.27015483379,0.28433200717,-79.554496765,261.03796387,36.243591309,73.977127075,42.964515686,50.131313324,31.951349258,52.385528564,23.564851761,29.442539215,25.986433029,28.079719543,26.181287766,23.678916931,20.719236374,34.832210541,27.473836899,25.490983963,25.008766174,25.246334076,-205.37098694,193.83320618,-30.871675491,18.917503357,2.2796866894,10.839299202,-4.2436752319,13.079658508,-5.4101071358,-1.2317436934,-0.14264936745,0.27223059535,-1.4067521095,1.2648252249,0.83166575432,0.59713721275,5.0041222572,3.3454329967,2.9111194611,-4.4632358551,-199.77430725,198.5610199,-30.229301453,18.074552536,3.4167635441,11.504582405,-4.3903746605,13.018025398,-5.2373256683,-1.2642472982,-0.066138245165,0.35018607974,-0.83594030142,1.4933801889,0.90542566776,0.7375716567,5.1048521996,3.371568203,3.1371781826,-4.4662842751,-581.24005127,-3.6415315208e-14,-96.859199524,-67.249771118,-53.04252243,-45.731254578,-44.993835449,-18.376844406,-37.258537292,-32.944942474,-34.151672363,-27.705846786,-32.285179138,-24.953550339,-23.416795731,-33.105922699,-18.022050858,-19.385595322,-22.94357872,-24.956344604,-1.8802267313,-1.3118755817,-0.23481170833,-0.7669673562,-0.32489818335,-0.30755871534,0.019828839228,0.096794568002,-0.12229646742,-0.012203055434,-0.00016380190209,-0.046039249748,-0.28565040231,-0.20032650232,-0.061072662473,-0.1997615397,-0.11945601553,-0.0023661770392,-0.24377131462,0.059665702283,54.425476074,27.213111877,15.919913292,17.978219986,13.746991158,13.004157066,9.1553525925,9.3521118164,7.8838868141,7.903491497,7.1105160713,6.5833091736,7.7503252029,6.4460887909,5.8407459259,6.4283380508,5.9085073471,5.7740263939,6.116994381,5.4616651535,Rock
1443,3.1808180809,1.6480585337,0.74772489071,-1.0358506441,-0.48185375333,-0.74422460794,-0.073060080409,-0.12493488938,-0.42356771231,0.097706288099,-0.30055478215,0.31736174226,0.19028489292,0.13289412856,-0.42729821801,-0.21617141366,-0.046220205724,0.10220570862,0.21863755584,-0.39706343412,-27.500829697,259.3729248,65.173042297,49.340496063,44.882888794,50.019275665,27.387899399,44.302192688,24.083644867,36.975280762,38.242904663,38.713981628,22.326654434,30.669260025,20.294754028,23.725727081,24.172956467,32.81495285,22.742542267,29.734659195,-154.36442566,208.55578613,-20.875202179,6.0446028709,9.7226629257,5.8078827858,-4.7405772209,6.192656517,-6.2189536095,-2.9804046154,0.45259964466,2.6259512901,-1.7694303989,-2.1854932308,-7.2290582657,-4.666457653,1.3732261658,4.7204031944,-5.1738195419,-2.1010708809,-144.94374084,215.65403748,-23.552244186,9.1421461105,9.6060342789,6.6303877831,-4.8366041183,5.9386005402,-6.3175568581,-4.4606342316,-0.46226361394,1.9891240597,-1.4909641743,-2.7943315506,-7.0246334076,-4.9346776009,1.5547944307,4.611495018,-5.3921222687,-2.7029728889,-511.7906189,-2.2204460493e-14,-74.131095886,-37.225448608,-28.543397903,-41.368122101,-37.866840363,-24.09318924,-37.759384155,-35.456680298,-34.252437592,-29.012104034,-31.760332108,-25.715087891,-35.233802795,-31.03796196,-24.368747711,-20.325040817,-29.224142075,-27.052261353,-1.1852158308,-1.1305652857,0.73474997282,-0.19734486938,0.059146333486,-0.12582878768,0.047357976437,0.12538866699,-0.027222892269,0.55543106794,0.27614927292,0.40949225426,-0.26629891992,0.42042589188,-0.066224090755,0.18827952445,-0.15508595109,0.13715516031,0.23849903047,0.27204054594,54.890159607,28.361822128,19.146457672,17.067882538,11.426854134,15.294626236,8.3352479935,8.9211711884,8.4819793701,10.029218674,9.6730947495,9.0793371201,6.7351884842,7.8897209167,8.2320518494,7.5184588432,6.4502010345,6.7308354378,6.5142397881,7.8268790245,Experimental
1482,-0.64488726854,-0.23391933739,-0.71455448866,0.63614350557,-0.16074246168,0.53733450174,0.040444720536,0.15644681454,0.37315928936,0.90450954437,1.8353480101,0.30071252584,0.20255333185,1.2400795221,0.98870414495,0.33225217462,0.46103161573,0.24961437285,-0.047275349498,-0.14072474837,22.791994095,228.38722229,98.477119446,110.67881775,62.940010071,51.164813995,53.061279297,59.072875977,47.671051025,43.381240845,55.11901474,41.324539185,36.3254776,45.637336731,35.645645142,27.351625443,40.794807434,39.703258514,41.939510345,44.001735687,-297.63787842,136.51902771,44.605106354,38.29491806,19.872711182,18.389631271,12.526715279,12.588480949,5.8086438179,7.4943990707,8.2820386887,7.7734665871,3.9795908928,0.93566125631,-1.239397645,-4.0866880417,0.38530451059,2.7375116348,6.9860014915,7.0046043396,-298.52615356,142.11885071,46.674156189,35.850830078,19.98900795,18.494207382,12.724869728,11.348434448,5.7281551361,7.8848419189,7.9493179321,7.6699962616,4.0240325928,1.3167210817,-1.0686632395,-4.0672636032,-0.31341144443,1.381870389,6.4142980576,6.3221979141,-472.69659424,1.7763568394e-14,-43.251796722,-30.772777557,-24.144987106,-23.285575867,-23.046957016,-26.359226227,-24.724071503,-29.849729538,-22.696746826,-25.769329071,-24.282569885,-37.549137115,-41.110218048,-32.545658112,-38.095809937,-28.284097672,-25.927207947,-28.63948822,0.066247999668,-0.4874189198,-0.31563103199,0.636731565,-0.044528581202,-0.26799938083,-0.062233261764,0.49467685819,0.047388240695,-0.24796661735,0.44290995598,0.040893502533,0.014752991498,-0.17319019139,-0.066611155868,-0.075701214373,0.35799509287,0.5415596962,0.34960788488,0.36242029071,70.608970642,41.838294983,24.352983475,20.33823204,12.184758186,9.4425830841,8.8988857269,10.451808929,7.205329895,7.5758361816,7.859650135,7.8794808388,8.3198451996,9.0559635162,7.579120636,7.5371823311,8.6928739548,9.6811962128,10.265250206,10.581941605,Electronic
1510,1.2075610161,0.31691998243,1.0924324989,-0.40056741238,0.032482024282,-0.35938844085,0.14733573794,-0.022540103644,0.44055739045,-0.29567307234,-0.30966413021,-0.03275065124,-0.42801332474,-0.6014084816,0.39633840322,0.33209016919,-0.2459384352,-0.26145622134,-0.019753791392,-0.17733751237,-84.471961975,195.22956848,60.591815948,88.741958618,59.138977051,96.180023193,33.884830475,38.428348541,26.994003296,26.187679291,12.53842926,47.136676788,26.761041641,47.18781662,29.361497879,32.491611481,30.55219841,25.967977524,35.450244904,28.34059906,-331.41812134,103.282547,-8.1810846329,17.531890869,-15.235683441,16.263429642,-15.256560326,-9.4220495224,-6.7648944855,-9.8640918732,-19.453695297,-6.191775322,-20.151597977,-1.0972124338,-2.415324688,-2.3000733852,0.11951800436,-11.570591927,2.8319780827,-5.1156392097,-322.83566284,112.59383392,-3.6446177959,17.513648987,-15.29845047,15.046207428,-14.195297241,-9.7692699432,-5.5729241371,-9.564953804,-19.661569595,-6.9884667397,-20.383119583,-0.14417283237,-1.737826705,-2.4524159431,-5.7731597281e-14,-11.661524773,2.4774422646,-4.18836689,-577.20397949,-95.586921692,-158.15086365,-55.833179474,-90.806625366,-47.82365036,-80.192207336,-50.923233032,-58.474082947,-47.550113678,-56.007053375,-48.677097321,-65.546798706,-41.356391907,-42.845348358,-42.301605225,-34.137889862,-51.844928741,-25.252105713,-41.77589798,-0.81529659033,-0.84636747837,-0.85754877329,-0.0064416611567,-0.0031135431491,0.14697812498,-0.38884475827,0.096406109631,-0.469078511,-0.18502213061,-0.0090164588764,0.18847486377,0.0022937003523,-0.03082751669,-0.29135632515,0.12285327166,0.029906185344,-0.080328837037,0.096626259387,-0.2582962811,86.329292297,49.770935059,26.408660889,21.118337631,20.35667038,21.397193909,15.675196648,13.201461792,11.679019928,12.16666317,11.356780052,15.024532318,14.119064331,14.075084686,8.7025184631,9.2675247192,9.9234161377,10.250344276,7.4602789879,8.2199659348,Experimental
1544,-1.4468261003,0.72986912727,-0.69507610798,-1.1980843544,-0.24893347919,0.2374446243,0.68084275723,-0.36023694277,0.2972356379,0.20377808809,0.33523106575,0.41750726104,0.12152832747,0.073820672929,0.46508005261,0.45985069871,0.19353806973,0.4519289732,0.40849134326,-0.32761842012,-188.35256958,199.57763672,51.693080902,31.239984512,23.93667984,28.115623474,20.917285919,13.558058739,13.357391357,20.449850082,30.786909103,36.402393341,44.660037994,44.257949829,28.068235397,19.303133011,19.421636581,20.510328293,26.926305771,11.081118584,-350.57958984,136.9471283,-37.133655548,-16.418352127,-4.2155661583,-4.7067818642,-10.637488365,-9.478811264,-9.6365766525,-6.4552922249,-4.4066085815,-12.359131813,-5.5924601555,12.532632828,5.3807764053,-6.8816905022,-9.5026302338,-3.2009856701,-9.521115303,-19.6475811,-376.24530029,138.80249023,-32.745113373,-12.134830475,-4.4029192924,-4.4727072716,-9.968416214,-8.6187391281,-9.6904230118,-6.4745149612,-4.1135721207,-14.307528496,-9.2194929123,12.571103096,5.5005412102,-4.4874076843,-8.7807788849,-1.6961432695,-8.9397468567,-20.905382156,-582.41082764,-8.0824236193e-14,-80.733604431,-63.919296265,-36.884483337,-38.138389587,-45.118202209,-41.449810028,-31.551807404,-28.465085983,-39.850345612,-57.644359589,-49.157302856,-21.122867584,-26.77217865,-44.100387573,-45.388271332,-35.329601288,-42.958431244,-46.117862701,0.078459486365,-0.60704421997,0.18955892324,-0.22212317586,0.080344714224,-0.072748661041,-0.49805933237,-0.38899409771,0.043739479035,0.15316170454,-0.1964109838,0.64818274975,0.87018424273,-0.014286378399,-0.27232426405,-0.95999032259,-0.45526781678,-0.77164375782,-0.45951002836,0.49183377624,98.033813477,33.049678802,21.955429077,18.226741791,7.748003006,7.7177944183,6.7981863022,8.0578660965,5.6612987518,6.0991106033,9.0660982132,12.349322319,13.703101158,9.5917205811,6.547811985,10.44072628,8.7541236877,8.3179521561,8.7404632568,8.7602987289,Folk
1642,6.1468834877,2.0916323662,-0.48539826274,-0.10530525446,-0.23827531934,-0.33698701859,-0.26516056061,-0.21450451016,-0.083962365985,0.0065172049217,0.25299319625,0.074844822288,0.2865421176,-0.012365378439,0.22310133278,0.05849827826,0.16753864288,0.051381908357,0.20573429763,0.022716790438,8.1990652084,256.18637085,41.78836441,124.93109894,45.113941193,80.832504272,35.321857452,53.715312958,36.651733398,35.14887619,32.371845245,28.344932556,32.151016235,24.275039673,33.334804535,25.332517624,29.049858093,18.588205338,25.783241272,16.171430588,-175.38520813,144.50314331,-34.843250275,43.163051605,-27.623189926,23.124162674,-10.340533257,4.4343390465,-3.8678016663,-0.14307112992,-3.0307314396,-0.21938619018,-0.2111466378,-2.756906271,1.7735666037,-2.7673306465,1.5240881443,-7.9014658928,-2.3148896694,-6.4400210381,-168.65791321,150.98039246,-34.459774017,43.079292297,-27.946443558,23.088479996,-10.82645607,3.9111144543,-3.9683763981,-0.18914869428,-2.6162304878,-0.23649147153,-0.40872091055,-2.8609170914,1.5452352762,-2.7282552719,1.6051267385,-7.8762617111,-2.6026318073,-6.4947953224,-574.04425049,-5.5067062021e-14,-101.03032684,-23.324485779,-87.015403748,-34.337272644,-49.837509155,-40.167198181,-37.259563446,-30.913793564,-38.494819641,-26.084493637,-25.224653244,-27.847787857,-25.425691605,-31.804998398,-29.323282242,-31.03849411,-29.251235962,-28.984313965,-1.9574697018,-1.1672923565,-0.020571257919,0.18832664192,0.091107428074,0.070089168847,0.15349572897,0.033632963896,0.16324791312,0.13164027035,-0.18262267113,0.15314240754,0.30512800813,0.1647105515,0.11608991027,0.076977185905,-0.22289521992,-0.0182110928,0.21160924435,0.011411291547,94.205879211,40.480983734,23.225234985,23.668466568,21.05922699,18.268720627,13.708903313,13.962696075,10.976385117,9.363111496,9.1458234787,7.8390288353,7.5155515671,7.2011499405,7.2854480743,7.5274920464,7.4467163086,6.6934947968,7.2511320114,5.8319425583,Pop
1644,27.961278915,2.895493269,1.5795360804,2.2083539963,2.560605526,2.4844064713,1.393129468,-0.00031055483851,0.045329537243,-0.36488366127,-0.0055011007935,0.72638511658,0.49109360576,0.17618830502,0.41249972582,-0.030184488744,0.53279405832,-0.046214085072,0.19612555206,0.2550779283,6.4713606834,241.00608826,21.855203629,112.43881989,56.550113678,67.078170776,35.255393982,54.435573578,27.841753006,34.131008148,25.676181793,38.636611938,32.771682739,20.973291397,33.041641235,16.246801376,27.923488617,15.526780128,23.669454575,18.92051506,-58.88759613,148.87254333,-59.528911591,65.502944946,-30.848285675,33.188106537,-14.391633034,13.648579597,-3.7132878304,6.656039238,0.054332531989,4.0649671555,8.9010591507,-4.0554113388,5.6254329681,-7.4417333603,3.5484817028,-6.0815210342,0.23407658935,-8.8318624496,-52.61812973,148.50314331,-60.742874146,65.285179138,-31.438932419,34.036727905,-15.663564682,14.347420692,-3.9681055546,6.445587635,-0.00097634806298,3.599404335,9.1406669617,-4.0770955086,5.7349047661,-7.5358405113,3.7745950222,-6.0250511169,0.3124512136,-8.601849556,-547.59411621,6.2172489378999994e-15,-96.893218994,-11.938592911,-73.552696228,-32.012886047,-53.5013237,-26.612548828,-36.108715057,-23.674524307,-26.886928558,-21.537773132,-26.910102844,-25.86419487,-27.853879929,-30.971292496,-23.938097,-28.553565979,-23.693065643,-36.565483093,-4.0305871964,-0.23543849587,0.70870125294,-0.35715103149,0.7021907568,-0.95090287924,0.7740073204,-0.2983442843,0.070925973356,0.021385397762,-0.028849979863,0.44388011098,-0.31286743283,0.02752767317,-0.062695339322,0.076499834657,-0.32211649418,-0.011690798216,-0.17608225346,-0.16564677656,38.846790314,19.91031456,12.843732834,12.983385086,13.190551758,12.557482719,10.815852165,10.549653053,8.5473899841,9.7388696671,6.6602334976,7.0039625168,6.2216057777,5.8206510544,6.6308960915,6.0094590187,6.202706337,6.0471653938,6.0729861259,6.4961724281,Pop
1649,2.7646789551,6.7668375969,2.9990565777,0.50777620077,0.45369172096,0.15340232849,0.34985181689,0.39344236255,-0.26682552695,-0.092462077737,0.13258455694,-0.046489100903,-0.19521591067,-0.22181108594,-0.077417597175,0.034862417728,0.18184992671,0.18553005159,0.18156000972,0.24236501753,40.852432251,242.3162384,73.378929138,88.618507385,39.340774536,60.315402985,29.138437271,36.057506561,33.294788361,30.756187439,22.252721786,28.770450592,22.772987366,29.69701767,20.846883774,24.251806259,31.213747025,25.007112503,25.885513306,22.346048355,-111.22873688,161.44473267,-25.517681122,31.383378983,-23.636959076,18.253694534,-6.8336591721,9.3835582733,-2.9160993099,1.2390879393,-3.6064209938,-0.044051900506,-3.3698911667,-3.107367754,-1.685816288,-4.7559447289,-0.35202458501,-4.1182699203,-1.6848818064,-3.1782581806,-68.531089783,168.41638184,-31.73897934,35.908756256,-23.205265045,23.024877548,-6.2474517822,14.211802483,-2.8201408386,1.971571207,-3.2934653759,0.3989751935,-3.1769211292,-2.9773466587,-1.3206218481,-4.9750213623,-0.25122943521,-4.1778206825,-1.5696171522,-3.3008048534,-515.105896,-6.3296794891,-101.25314331,-40.166496277,-77.090248108,-34.698768616,-39.649459839,-37.63792038,-33.676849365,-30.493589401,-30.335851669,-30.48109436,-30.833503723,-26.477573395,-27.182432175,-29.904930115,-24.302602768,-26.362857819,-25.472864151,-23.052293777,-1.9012194872,-2.3635487556,1.5632436275,-0.92421203852,-0.038590844721,-0.95238250494,-0.19116051495,-1.1908273697,0.055916320533,-0.39064845443,-0.12088233978,-0.32373958826,-0.018866766244,0.062246955931,-0.14071473479,0.12051146477,0.10027161241,0.11846723408,0.034883923829,0.20695856214,125.9371109,41.168800354,28.053861618,20.678754807,11.989043236,17.894123077,8.5217914581,14.452492714,8.9184112549,8.6555261612,7.0865778923,8.3162631989,7.7066011429,7.5257811546,6.8421311378,7.1942281723,6.7686343193,6.3204417229,6.5719485283,5.9121108055,Pop
1661,26.706790924,13.465843201,3.4966518879,0.20082351565,0.288710922,2.8776807785,3.9827265739,0.34054195881,0.44136834145,0.64015167952,0.087116792798,1.0724822283,0.16324406862,0.35463234782,0.20120228827,1.3939329386,-0.011766687967,1.5381840467,0.013766700402,1.1168282032,30.986995697,221.61210632,19.400482178,109.50332642,25.492364883,70.20816803,33.624992371,43.543937683,20.917078018,35.445896149,18.689014435,31.934486389,24.943552017,27.577606201,31.643060684,32.957878113,25.786548615,29.345193863,24.018938065,27.320661545,-43.142055511,146.05841064,-64.742645264,63.076892853,-25.272474289,28.712970734,-18.334407806,16.397109985,-11.124125481,5.0529527664,-4.8183040619,-0.58993345499,3.5826199055,-3.7880046368,2.5520467758,-8.8894634247,2.5927181244,-6.6367416382,2.2829186916,-6.9039998055,-26.567583084,149.16275024,-67.041488647,64.600074768,-26.051132202,29.566806793,-19.083631516,16.752655029,-11.673798561,5.1039347649,-4.8889274597,-1.2009885311,3.5973074436,-3.9817299843,2.6688761711,-9.2304267883,2.856664896,-6.8294839859,2.2301545143,-7.0861477852,-544.35058594,-31.812580109,-121.81223297,-1.1901590824e-13,-63.924209595,-25.366621017,-41.992614746,-15.495019913,-37.856044769,-28.789932251,-30.940011978,-24.026351929,-23.215257645,-23.2787323,-21.903337479,-31.521173477,-20.958450317,-28.129177094,-16.923273087,-29.358018875,-4.9217457771,-2.861385107,1.2057254314,-0.36662480235,0.37801831961,-0.93943738937,1.2367092371,-0.29116892815,0.38470816612,-0.21609969437,0.018501216546,0.66600358486,-0.10832057148,0.27186638117,-0.0085846995935,0.46223580837,-0.14770807326,0.4621655643,0.050684779882,0.31529900432,74.604621887,28.50123024,14.668162346,17.585092545,12.820063591,10.296165466,8.5045900345,7.30164814,7.3617296219,6.7273311615,5.9889435768,7.2387242317,6.4881272316,5.874548912,6.1096844673,6.332470417,6.1955280304,6.2525587082,5.3261375427,5.8975048065,Pop
